scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,mode+wording_family_id+target_order,symmetric_pair|direct_labels|object_first,120,240,0.9875,0.975,1.0,0.975,0,0.9208333333333333,0.8416666666666667,1.0,0.8416666666666667,0,0.975,1.0,0.95,0.95,0,0.4875
all,mode+wording_family_id+target_order,close_only|proximity_synonyms|object_first,336,672,0.21726190476190477,0.36904761904761907,0.06547619047619048,0.011904761904761904,0,0.17410714285714285,0.25892857142857145,0.08928571428571429,0.005952380952380952,0,0.4955357142857143,0.9791666666666666,0.011904761904761904,0.002976190476190476,0,0.6517857142857143
all,mode+wording_family_id+target_order,symmetric_pair|proximity_synonyms|object_first,120,240,0.5041666666666667,0.38333333333333336,0.625,0.18333333333333332,0,0.475,0.25833333333333336,0.6916666666666667,0.1,0,0.49166666666666664,0.03333333333333333,0.95,0.03333333333333333,0,0.37916666666666665
all,mode+wording_family_id+target_order,close_only|distance_short_long|object_first,336,672,0.34523809523809523,0.625,0.06547619047619048,0.011904761904761904,0,0.2604166666666667,0.43154761904761907,0.08928571428571429,0.008928571428571428,0,0.4895833333333333,0.9761904761904762,0.002976190476190476,0.002976190476190476,0,0.7797619047619048
all,mode+wording_family_id+target_order,symmetric_pair|distance_short_long|object_first,120,240,0.7166666666666667,0.6166666666666667,0.8166666666666667,0.43333333333333335,0,0.625,0.4,0.85,0.25,0,0.7666666666666667,0.5583333333333333,0.975,0.5333333333333333,0,0.4
all,mode+wording_family_id+target_order,close_only|distance_small_large|object_first,336,672,0.33630952380952384,0.6071428571428571,0.06547619047619048,0.017857142857142856,0,0.25148809523809523,0.41369047619047616,0.08928571428571429,0.008928571428571428,0,0.49107142857142855,0.9821428571428571,0.0,0.0,0,0.7708333333333334
all,mode+wording_family_id+target_order,symmetric_pair|distance_small_large|object_first,120,240,0.6708333333333333,0.6,0.7416666666666667,0.3416666666666667,0,0.5791666666666667,0.38333333333333336,0.775,0.15833333333333333,0,0.8958333333333334,0.8833333333333333,0.9083333333333333,0.7916666666666666,0,0.42916666666666664
all,mode+wording_family_id+context_structure+target_order,original_baseline|original_placement|object_subject|person_first,112,224,0.7053571428571429,0.9910714285714286,0.41964285714285715,0.4107142857142857,0,0.7723214285714286,0.625,0.9196428571428571,0.5446428571428571,0,0.5133928571428571,0.9821428571428571,0.044642857142857144,0.026785714285714284,0,0.7857142857142857
all,mode+wording_family_id+context_structure+target_order,close_only|direct_labels|object_subject|person_first,112,224,0.6607142857142857,0.9017857142857143,0.41964285714285715,0.32142857142857145,0,0.8035714285714286,0.6875,0.9196428571428571,0.6071428571428571,0,0.5089285714285714,0.9910714285714286,0.026785714285714284,0.017857142857142856,0,0.7410714285714286
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|direct_labels|object_subject|person_first,40,80,0.95,0.9,1.0,0.9,0,0.8,0.6,1.0,0.6,0,0.9875,0.975,1.0,0.975,0,0.45
all,mode+wording_family_id+context_structure+target_order,close_only|proximity_synonyms|object_subject|person_first,112,224,0.5535714285714286,0.6875,0.41964285714285715,0.15178571428571427,0,0.5491071428571429,0.17857142857142858,0.9196428571428571,0.10714285714285714,0,0.4955357142857143,0.9107142857142857,0.08035714285714286,0.008928571428571428,0,0.6339285714285714
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|proximity_synonyms|object_subject|person_first,40,80,0.7125,0.7,0.725,0.45,0,0.5625,0.175,0.95,0.125,0,0.55,0.1,1.0,0.1,0,0.4875
all,mode+wording_family_id+context_structure+target_order,close_only|distance_short_long|object_subject|person_first,112,224,0.4107142857142857,0.4017857142857143,0.41964285714285715,0.10714285714285714,0,0.4642857142857143,0.008928571428571428,0.9196428571428571,0.0,0,0.5,1.0,0.0,0.0,0,0.49107142857142855
all,mode+wording_family_id+context_structure+target_order,symmetric_pair|distance_short_long|object_subject|person_first,40,80,0.625,0.375,0.875,0.25,0,0.5125,0.025,1.0,0.025,0,0.7,0.725,0.675,0.4,0,0.25
