scope,grouping,group,n_pairs,n_judgments,raw_accuracy,raw_close_accuracy,raw_far_accuracy,raw_both_correct,raw_exact_ties,pmi_accuracy,pmi_close_accuracy,pmi_far_accuracy,pmi_both_correct,pmi_exact_ties,context_accuracy,context_close_accuracy,context_far_accuracy,context_both_correct,context_exact_ties,raw_close_choice_fraction
all,condition_id+target_order+name_id,physical_placement_fronted|person_first|name_0,144,288,0.9479166666666666,1.0,0.8958333333333334,0.8958333333333334,0,0.9131944444444444,0.8888888888888888,0.9375,0.8263888888888888,0,0.7604166666666666,0.7708333333333334,0.75,0.5208333333333334,0,0.5520833333333334
all,condition_id+target_order+name_id,physical_placement_fronted|object_first|name_0,144,288,0.5347222222222222,0.2777777777777778,0.7916666666666666,0.2222222222222222,0,0.6354166666666666,0.5,0.7708333333333334,0.375,0,0.5555555555555556,0.3541666666666667,0.7569444444444444,0.11805555555555555,0,0.24305555555555555
all,condition_id+target_order+name_id,physical_placement_person_subject|person_first|name_0,144,288,0.9340277777777778,0.9722222222222222,0.8958333333333334,0.875,0,0.7986111111111112,0.8055555555555556,0.7916666666666666,0.5972222222222222,0,0.5520833333333334,0.2013888888888889,0.9027777777777778,0.10416666666666667,0,0.5381944444444444
all,condition_id+target_order+name_id,physical_placement_person_subject|object_first|name_0,144,288,0.4861111111111111,0.3333333333333333,0.6388888888888888,0.20833333333333334,0,0.5625,0.6111111111111112,0.5138888888888888,0.3055555555555556,0,0.5138888888888888,0.2708333333333333,0.7569444444444444,0.09027777777777778,0,0.3472222222222222
all,condition_id+target_order+name_id,physical_placement|person_first|name_1,144,288,0.7986111111111112,1.0,0.5972222222222222,0.5972222222222222,0,0.5972222222222222,0.19444444444444445,1.0,0.19444444444444445,0,0.6493055555555556,0.5138888888888888,0.7847222222222222,0.2986111111111111,0,0.7013888888888888
all,condition_id+target_order+name_id,physical_placement|object_first|name_1,144,288,0.7291666666666666,0.9166666666666666,0.5416666666666666,0.4861111111111111,0,0.6423611111111112,0.9444444444444444,0.3402777777777778,0.3125,0,0.5277777777777778,0.2986111111111111,0.7569444444444444,0.06944444444444445,0,0.6875
all,condition_id+target_order+name_id,physical_placement_fronted|person_first|name_1,144,288,0.9166666666666666,1.0,0.8333333333333334,0.8333333333333334,0,0.625,0.25,1.0,0.25,0,0.6388888888888888,0.5,0.7777777777777778,0.2777777777777778,0,0.5833333333333334
all,condition_id+target_order+name_id,physical_placement_fronted|object_first|name_1,144,288,0.7083333333333334,0.6111111111111112,0.8055555555555556,0.4791666666666667,0,0.7569444444444444,0.8888888888888888,0.625,0.5416666666666666,0,0.5694444444444444,0.3402777777777778,0.7986111111111112,0.14583333333333334,0,0.4027777777777778
all,condition_id+target_order+name_id,physical_placement_person_subject|person_first|name_1,144,288,0.8854166666666666,1.0,0.7708333333333334,0.7708333333333334,0,0.75,0.5,1.0,0.5,0,0.6006944444444444,0.2708333333333333,0.9305555555555556,0.2013888888888889,0,0.6145833333333334
all,condition_id+target_order+name_id,physical_placement_person_subject|object_first|name_1,144,288,0.7847222222222222,1.0,0.5694444444444444,0.5694444444444444,0,0.7361111111111112,1.0,0.4722222222222222,0.4722222222222222,0,0.5138888888888888,0.24305555555555555,0.7847222222222222,0.0763888888888889,0,0.7152777777777778
all,condition_id+target_order+name_id,physical_placement|person_first|name_2,144,288,0.8611111111111112,0.9722222222222222,0.75,0.7361111111111112,0,0.8645833333333334,0.8055555555555556,0.9236111111111112,0.7291666666666666,0,0.5833333333333334,0.4166666666666667,0.75,0.16666666666666666,0,0.6111111111111112
all,condition_id+target_order+name_id,physical_placement|object_first|name_2,144,288,0.7777777777777778,1.0,0.5555555555555556,0.5555555555555556,0,0.7569444444444444,0.8055555555555556,0.7083333333333334,0.5555555555555556,0,0.5416666666666666,0.4027777777777778,0.6805555555555556,0.09722222222222222,0,0.7222222222222222
all,condition_id+target_order+name_id,physical_placement_fronted|person_first|name_2,144,288,0.9479166666666666,0.9722222222222222,0.9236111111111112,0.9027777777777778,0,0.8402777777777778,0.6944444444444444,0.9861111111111112,0.6805555555555556,0,0.5902777777777778,0.3819444444444444,0.7986111111111112,0.18055555555555555,0,0.5243055555555556
all,condition_id+target_order+name_id,physical_placement_fronted|object_first|name_2,144,288,0.8715277777777778,1.0,0.7430555555555556,0.7430555555555556,0,0.7638888888888888,0.75,0.7777777777777778,0.5763888888888888,0,0.5381944444444444,0.2986111111111111,0.7777777777777778,0.0763888888888889,0,0.6284722222222222
all,condition_id+target_order+name_id,physical_placement_person_subject|person_first|name_2,144,288,0.7986111111111112,0.9444444444444444,0.6527777777777778,0.625,0,0.8576388888888888,0.8055555555555556,0.9097222222222222,0.7152777777777778,0,0.5590277777777778,0.16666666666666666,0.9513888888888888,0.11805555555555555,0,0.6458333333333334
all,condition_id+target_order+name_id,physical_placement_person_subject|object_first|name_2,144,288,0.7152777777777778,1.0,0.4305555555555556,0.4305555555555556,0,0.7708333333333334,0.8611111111111112,0.6805555555555556,0.5486111111111112,0,0.5520833333333334,0.3263888888888889,0.7777777777777778,0.10416666666666667,0,0.7847222222222222
all,condition_id+target_order+name_id,physical_placement|person_first|name_3,144,288,0.8333333333333334,0.9722222222222222,0.6944444444444444,0.6666666666666666,0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0,0.6180555555555556,0.4791666666666667,0.7569444444444444,0.2361111111111111,0,0.6388888888888888
all,condition_id+target_order+name_id,physical_placement|object_first|name_3,144,288,0.7743055555555556,1.0,0.5486111111111112,0.5486111111111112,0,0.7048611111111112,0.6944444444444444,0.7152777777777778,0.4791666666666667,0,0.5104166666666666,0.24305555555555555,0.7777777777777778,0.034722222222222224,0,0.7256944444444444
